source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[instrument]	comment[panel name]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[fraction identifier]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[olink lot number]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PAD000002-f01-r00035-PLATE_CTRL_15	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	35	not available	control sample	blood plasma	PAD000002-f01-r00035-PLATE_CTRL_15	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00036-O5-24	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	36	not available	experimental sample	blood plasma	PAD000002-f01-r00036-O5-24	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00037-O5-28	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	37	not available	experimental sample	blood plasma	PAD000002-f01-r00037-O5-28	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00038-O5-6	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	38	not available	experimental sample	blood plasma	PAD000002-f01-r00038-O5-6	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00039-O5-9	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	39	not available	experimental sample	blood plasma	PAD000002-f01-r00039-O5-9	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00040-O5-29	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	40	not available	experimental sample	blood plasma	PAD000002-f01-r00040-O5-29	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00041-SAMPLE_CTRL_9	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	41	not available	control sample	blood plasma	PAD000002-f01-r00041-SAMPLE_CTRL_9	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00042-O5-18	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	42	not available	experimental sample	blood plasma	PAD000002-f01-r00042-O5-18	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00043-O5-39	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	43	not available	experimental sample	blood plasma	PAD000002-f01-r00043-O5-39	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00044-O5-20	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	44	not available	experimental sample	blood plasma	PAD000002-f01-r00044-O5-20	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00045-O5-26	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	45	not available	experimental sample	blood plasma	PAD000002-f01-r00045-O5-26	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00046-O5-37	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	46	not available	experimental sample	blood plasma	PAD000002-f01-r00046-O5-37	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00047-SAMPLE_CTRL_10	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	47	not available	control sample	blood plasma	PAD000002-f01-r00047-SAMPLE_CTRL_10	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00048-O5-21_r	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	48	not available	experimental sample	blood plasma	PAD000002-f01-r00048-O5-21_r	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00049-NEG_CTRL_5	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	49	not available	negative control sample	blood plasma	PAD000002-f01-r00049-NEG_CTRL_5	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00050-PLATE_CTRL_6	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	50	not available	control sample	blood plasma	PAD000002-f01-r00050-PLATE_CTRL_6	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00051-O1-1	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	51	not available	experimental sample	blood plasma	PAD000002-f01-r00051-O1-1	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00052-O2-d1	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	52	not available	experimental sample	blood plasma	PAD000002-f01-r00052-O2-d1	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00053-O2-b3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	53	not available	experimental sample	blood plasma	PAD000002-f01-r00053-O2-b3	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00054-O4-b1	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	54	not available	experimental sample	blood plasma	PAD000002-f01-r00054-O4-b1	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00055-O4-j1	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	55	not available	experimental sample	blood plasma	PAD000002-f01-r00055-O4-j1	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00056-O4-h2	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	56	not available	experimental sample	blood plasma	PAD000002-f01-r00056-O4-h2	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00057-O4-f3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	57	not available	experimental sample	blood plasma	PAD000002-f01-r00057-O4-f3	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00058-PLATE_CTRL_1	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	58	not available	control sample	blood plasma	PAD000002-f01-r00058-PLATE_CTRL_1	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00059-O5-10_r	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	59	not available	experimental sample	blood plasma	PAD000002-f01-r00059-O5-10_r	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00060-NEG_CTRL_6	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	60	not available	negative control sample	blood plasma	PAD000002-f01-r00060-NEG_CTRL_6	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00061-PLATE_CTRL_7	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	61	not available	control sample	blood plasma	PAD000002-f01-r00061-PLATE_CTRL_7	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00062-O1-2	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	62	not available	experimental sample	blood plasma	PAD000002-f01-r00062-O1-2	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00063-O2-e1	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	63	not available	experimental sample	blood plasma	PAD000002-f01-r00063-O2-e1	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00064-O2-c3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	64	not available	experimental sample	blood plasma	PAD000002-f01-r00064-O2-c3	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00065-O4-c1	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	65	not available	experimental sample	blood plasma	PAD000002-f01-r00065-O4-c1	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00066-O4-a2	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	66	not available	experimental sample	blood plasma	PAD000002-f01-r00066-O4-a2	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00067-O4-i2	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	67	not available	experimental sample	blood plasma	PAD000002-f01-r00067-O4-i2	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00068-O4-g3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	68	not available	experimental sample	blood plasma	PAD000002-f01-r00068-O4-g3	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00069-PLATE_CTRL_2	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	69	not available	control sample	blood plasma	PAD000002-f01-r00069-PLATE_CTRL_2	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_Explore HT_Plate layout_RUN2_Plate1	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
