source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000009-f01-r00001-L14_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	1	experimental sample	blood plasma	PAD000009-f01-r00001-L14_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00002-L22_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	2	experimental sample	blood plasma	PAD000009-f01-r00002-L22_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00003-L30_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	3	experimental sample	blood plasma	PAD000009-f01-r00003-L30_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00004-SC-2-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	4	control sample	blood plasma	PAD000009-f01-r00004-SC-2-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00005-L15_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	5	experimental sample	blood plasma	PAD000009-f01-r00005-L15_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00006-L23_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	6	experimental sample	blood plasma	PAD000009-f01-r00006-L23_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00007-L31_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	7	experimental sample	blood plasma	PAD000009-f01-r00007-L31_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00008-SC-2-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	8	control sample	blood plasma	PAD000009-f01-r00008-SC-2-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00009-L16_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	9	experimental sample	blood plasma	PAD000009-f01-r00009-L16_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00010-L24_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	10	experimental sample	blood plasma	PAD000009-f01-r00010-L24_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00011-L32_NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	11	experimental sample	blood plasma	PAD000009-f01-r00011-L32_NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00012-SC-2-3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	12	control sample	blood plasma	PAD000009-f01-r00012-SC-2-3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00013-L17_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	13	experimental sample	blood plasma	PAD000009-f01-r00013-L17_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00014-L25_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	14	experimental sample	blood plasma	PAD000009-f01-r00014-L25_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00015-L33_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	15	experimental sample	blood plasma	PAD000009-f01-r00015-L33_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00016-PC-2-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	16	control sample	blood plasma	PAD000009-f01-r00016-PC-2-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00017-L18_NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	17	experimental sample	blood plasma	PAD000009-f01-r00017-L18_NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00018-L26_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	18	experimental sample	blood plasma	PAD000009-f01-r00018-L26_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00019-L34_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	19	experimental sample	blood plasma	PAD000009-f01-r00019-L34_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00020-PC-2-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	20	control sample	blood plasma	PAD000009-f01-r00020-PC-2-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00021-L19_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	21	experimental sample	blood plasma	PAD000009-f01-r00021-L19_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00022-L27_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	22	experimental sample	blood plasma	PAD000009-f01-r00022-L27_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00023-L35_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	23	experimental sample	blood plasma	PAD000009-f01-r00023-L35_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00024-PC-2-3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	24	control sample	blood plasma	PAD000009-f01-r00024-PC-2-3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00025-L20_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	25	experimental sample	blood plasma	PAD000009-f01-r00025-L20_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00026-L28_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	26	experimental sample	blood plasma	PAD000009-f01-r00026-L28_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f01-r00027-NC-2-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	27	negative control sample	blood plasma	PAD000009-f01-r00027-NC-2-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
