source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel name]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[fraction identifier]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PAD000008-f01-r00013-P18	Homo sapiens	Blood plasma	not available	not available	not available	13	experimental sample	blood plasma	PAD000008-f01-r00013-P18	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00014-P3	Homo sapiens	Blood plasma	not available	not available	not available	14	experimental sample	blood plasma	PAD000008-f01-r00014-P3	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00015-P8	Homo sapiens	Blood plasma	not available	not available	not available	15	experimental sample	blood plasma	PAD000008-f01-r00015-P8	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00016-P17	Homo sapiens	Blood plasma	not available	not available	not available	16	experimental sample	blood plasma	PAD000008-f01-r00016-P17	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00017-P79	Homo sapiens	Blood plasma	not available	not available	not available	17	experimental sample	blood plasma	PAD000008-f01-r00017-P79	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00018-P25	Homo sapiens	Blood plasma	not available	not available	not available	18	experimental sample	blood plasma	PAD000008-f01-r00018-P25	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00019-P70	Homo sapiens	Blood plasma	not available	not available	not available	19	experimental sample	blood plasma	PAD000008-f01-r00019-P70	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00020-P81	Homo sapiens	Blood plasma	not available	not available	not available	20	experimental sample	blood plasma	PAD000008-f01-r00020-P81	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00021-P58	Homo sapiens	Blood plasma	not available	not available	not available	21	experimental sample	blood plasma	PAD000008-f01-r00021-P58	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00022-P85	Homo sapiens	Blood plasma	not available	not available	not available	22	experimental sample	blood plasma	PAD000008-f01-r00022-P85	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00023-P15	Homo sapiens	Blood plasma	not available	not available	not available	23	experimental sample	blood plasma	PAD000008-f01-r00023-P15	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00024-P42	Homo sapiens	Blood plasma	not available	not available	not available	24	experimental sample	blood plasma	PAD000008-f01-r00024-P42	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00025-P9	Homo sapiens	Blood plasma	not available	not available	not available	25	experimental sample	blood plasma	PAD000008-f01-r00025-P9	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00026-P78	Homo sapiens	Blood plasma	not available	not available	not available	26	experimental sample	blood plasma	PAD000008-f01-r00026-P78	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00027-P86	Homo sapiens	Blood plasma	not available	not available	not available	27	experimental sample	blood plasma	PAD000008-f01-r00027-P86	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00028-P27	Homo sapiens	Blood plasma	not available	not available	not available	28	experimental sample	blood plasma	PAD000008-f01-r00028-P27	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00029-P34	Homo sapiens	Blood plasma	not available	not available	not available	29	experimental sample	blood plasma	PAD000008-f01-r00029-P34	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00030-P59	Homo sapiens	Blood plasma	not available	not available	not available	30	experimental sample	blood plasma	PAD000008-f01-r00030-P59	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00031-P37	Homo sapiens	Blood plasma	not available	not available	not available	31	experimental sample	blood plasma	PAD000008-f01-r00031-P37	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00032-P83	Homo sapiens	Blood plasma	not available	not available	not available	32	experimental sample	blood plasma	PAD000008-f01-r00032-P83	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00033-P65	Homo sapiens	Blood plasma	not available	not available	not available	33	experimental sample	blood plasma	PAD000008-f01-r00033-P65	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00034-P84	Homo sapiens	Blood plasma	not available	not available	not available	34	experimental sample	blood plasma	PAD000008-f01-r00034-P84	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00035-P69	Homo sapiens	Blood plasma	not available	not available	not available	35	experimental sample	blood plasma	PAD000008-f01-r00035-P69	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00036-P56	Homo sapiens	Blood plasma	not available	not available	not available	36	experimental sample	blood plasma	PAD000008-f01-r00036-P56	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00037-P5	Homo sapiens	Blood plasma	not available	not available	not available	37	experimental sample	blood plasma	PAD000008-f01-r00037-P5	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00038-P14	Homo sapiens	Blood plasma	not available	not available	not available	38	experimental sample	blood plasma	PAD000008-f01-r00038-P14	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00039-P74	Homo sapiens	Blood plasma	not available	not available	not available	39	experimental sample	blood plasma	PAD000008-f01-r00039-P74	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-f01-r00040-P52	Homo sapiens	Blood plasma	not available	not available	not available	40	experimental sample	blood plasma	PAD000008-f01-r00040-P52	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	Olink Target 96 Organ Damage(v.3301)	NPX	1362700115	IPC Normalized	1	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
