source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel name]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000009-L32_NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	11	not applicable	blood plasma	PAD000009-r00011-L32_NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-SC-2-3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	12	quality control sample	blood plasma	PAD000009-r00012-SC-2-3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L17_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	13	not applicable	blood plasma	PAD000009-r00013-L17_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L25_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	14	not applicable	blood plasma	PAD000009-r00014-L25_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L33_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	15	not applicable	blood plasma	PAD000009-r00015-L33_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-PC-2-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	16	plate control	blood plasma	PAD000009-r00016-PC-2-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L18_NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	17	not applicable	blood plasma	PAD000009-r00017-L18_NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L26_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	18	not applicable	blood plasma	PAD000009-r00018-L26_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L34_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	19	not applicable	blood plasma	PAD000009-r00019-L34_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-PC-2-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	20	plate control	blood plasma	PAD000009-r00020-PC-2-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L19_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	21	not applicable	blood plasma	PAD000009-r00021-L19_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L27_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	22	not applicable	blood plasma	PAD000009-r00022-L27_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L35_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	23	not applicable	blood plasma	PAD000009-r00023-L35_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-PC-2-3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	24	plate control	blood plasma	PAD000009-r00024-PC-2-3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L20_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	25	not applicable	blood plasma	PAD000009-r00025-L20_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L28_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	26	not applicable	blood plasma	PAD000009-r00026-L28_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-NC-2-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	27	negative control	blood plasma	PAD000009-r00027-NC-2-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-PC-2-4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	28	plate control	blood plasma	PAD000009-r00028-PC-2-4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L13_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	29	not applicable	blood plasma	PAD000009-r00029-L13_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L21_NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	30	not applicable	blood plasma	PAD000009-r00030-L21_NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L29_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	31	not applicable	blood plasma	PAD000009-r00031-L29_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-NC-2-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	32	negative control	blood plasma	PAD000009-r00032-NC-2-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-PC-2-5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	33	plate control	blood plasma	PAD000009-r00033-PC-2-5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
