source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel name]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000016-AA27_0m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	21	not applicable	blood plasma	PAD000016-r00021-AA27_0m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA09_6m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	22	not applicable	blood plasma	PAD000016-r00022-AA09_6m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA27_6m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	23	not applicable	blood plasma	PAD000016-r00023-AA27_6m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-NB199_T3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	24	not applicable	blood plasma	PAD000016-r00024-NB199_T3	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA32_0m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	25	not applicable	blood plasma	PAD000016-r00025-AA32_0m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA55_0m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	26	not applicable	blood plasma	PAD000016-r00026-AA55_0m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-IPC2	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	27	plate control	blood plasma	PAD000016-r00027-IPC2	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA26_6m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	28	not applicable	blood plasma	PAD000016-r00028-AA26_6m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-CIS_M_0m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	29	not applicable	blood plasma	PAD000016-r00029-CIS_M_0m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-CIS_F_15m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	30	not applicable	blood plasma	PAD000016-r00030-CIS_F_15m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
